,song,lyrics,artist,img
0,Sign of the Times,"Just stop your crying, it's a sign of the times Welcome to the final show I hope you're wearing your best clothes You can't bribe the door on your way to the sky You look pretty good down here But you ain't really good  We never learn, we've been here before Why are we always stuck and running from The bullets, the bullets? We never learn, we've been here before Why are we always stuck and running from The bullets, the bullets?  Just stop your crying, it's a sign of the times We gotta get away from here We gotta get away from here Just stop your crying, it'll be alright They told me that the end is near We gotta get away from here  Just stop your crying, have the time of your life Breaking through the atmosphere Things look pretty good from here Remember everything will be alright We can meet again somewhere Somewhere far away from here You might also like We never learn, we've been here before Why are we always stuck and running from The bullets, the bullets? We never learn, we've been here before Why are we always stuck and running from The bullets, the bullets?  Just stop your crying, it's a sign of the times We gotta get away from here We gotta get away from here Stop your crying, baby, it'll be alright They told me that the end is near We gotta get away from here  We never learn, we've been here before Why are we always stuck and running from The bullets, the bullets? We never learn, we've been here before Why are we always stuck and running from The bullets, the bullets?  We don't talk enough We should open up Before it's all too much Will we ever learn? We've been here before It's just what we know Stop your crying, baby, it's a sign of the times We gotta get away We got to get away, we got to get away We got to get away, we got to get away We got to, we got to, away We got to, we got to, away We got to, we got to, away355Embed",Harry Styles,https://images.genius.com/7808c28a7318d798a70dcca90b34846b.1000x1000x1.jpg
1,As It Was,"Come on, Harry, we wanna say goodnight to you  Holdin' me back Gravity's holdin' me back I want you to hold out the palm of your hand Why don't we leave it at that? Nothin' to say When everything gets in the way Seems you cannot be replaced And I'm the one who will stay, oh-oh-oh  In this world, it's just us You know it's not the same as it was In this world, it's just us You know it's not the same as it was As it was, as it was You know it's not the same  Answer the phone ""Harry, you're no good alone Why are you sitting at home on the floor? What kind of pills are you on?"" Ringin' the bell And nobody's coming to help Your daddy lives by himself He just wants to know that you're well, oh-oh-oh You might also like In this world, it's just us You know it's not the same as it was In this world, it's just us You know it's not the same as it was As it was, as it was You know it's not the same  Go home, get ahead, light-speed internet I don't wanna talk about the way that it was Leave America, two kids follow her I don't wanna talk about who's doin' it first  (Hey) As it was You know it's not the same as it was As it was, as it was190Embed",Harry Styles,https://images.genius.com/1f3b512dbdb9d39c975973c383fe29f3.873x873x1.png
2,Watermelon Sugar,"Tastes like strawberries on a summer evenin' And it sounds just like a song I want more berries and that summer feelin' It's so wonderful and warm  Breathe me in, breathe me out I don't know if I could ever go without I'm just thinking out loud I don't know if I could ever go without  Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar  Strawberries on a summer evenin' Baby, you're the end of June I want your belly and that summer feelin' Getting washed away in you  Breathe me in, breathe me out I don't know if I could ever go without You might also like Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar high  I just wanna taste it, I just wanna taste it Watermelon sugar high  Tastes like strawberries on a summer evenin' And it sounds just like a song I want your belly and that summer feelin' I don't know if I could ever go without  Watermelon sugar high Watermelon sugar high Watermelon sugar high (Sugar) Watermelon sugar high (Sugar) Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar high I just wanna taste it, I just wanna taste it (Eh-eh-eh) Watermelon sugar high I just wanna taste it, I just wanna taste it (Ooh, yeah) Watermelon sugar high Watermelon sugar116Embed",Harry Styles,https://images.genius.com/55a8f43c165fe3dd6db98f8e0a28cf3e.1000x1000x1.png
3,Falling,"I'm in my bed And you're not here And there's no one to blame but the drink in my wandering hands Forget what I said It's not what I meant And I can't take it back, I can't unpack the baggage you left  What am I now? What am I now? What if I'm someone I don't want around? I'm falling again, I'm falling again, I'm fallin' What if I'm down? What if I'm out? What if I'm someone you won't talk about? I'm falling again, I'm falling again, I'm fallin'  You said you cared, and you missed me too And I'm well aware I write too many songs about you And the coffee's out at the Beachwood Cafe And it kills me 'cause I know we've run out of things we can say  What am I now? What am I now? What if I'm someone I don't want around? I'm falling again, I'm falling again, I'm fallin' What if I'm down? What if I'm out? What if I'm someone you won't talk about? I'm falling again, I'm falling again, I'm fallin' You might also like And I get the feeling that you'll never need me again  What am I now? What am I now? What if you're someone I just want around? I'm falling again, I'm falling again, I'm fallin' What if I'm down? What if I'm out? What if I'm someone you won't talk about? I'm falling again, I'm falling again, I'm fallin'138Embed",Harry Styles,https://images.genius.com/7eaae87a75effd425aa57446afa8da9c.870x870x1.png
4,Adore You,"Walk in your rainbow paradise (Paradise) Strawberry lipstick state of mind (State of mind) I get so lost inside your eyes Would you believe it?  You don't have to say you love me You don't have to say nothing You don't have to say you're mine  Honey (Ah-ah-ah) I'd walk through fire for you Just let me adore you Oh, honey (Ah-ah-ah) I'd walk through fire for you Just let me adore you Like it's the only thing I'll ever do Like it's the only thing I'll ever do  You're wonder under summer sky (Summer sky) Brown skin and lemon over ice Would you believe it? You might also like You don't have to say you love me I just wanna tell you somethin' Lately, you've been on my mind  Honey (Ah-ah-ah) I'd walk through fire for you Just let me adore you Oh, honey (Ah-ah-ah) I'd walk through fire for you Just let me adore you Like it's the only thing I'll ever do Like it's the only thing I'll ever do  It's the only thing I'll ever do It's the only thing I'll ever do It's the only thing I'll ever do It's the only thing I'll ever do It's the only thing I'll ever do It's the only thing I'll ever do It's the only thing I'll ever do It's the only thing I'll ever do  I'd walk through fire for you Just let me adore you Oh, honey (Ah-ah-ah) I'd walk through fire for you Just let me adore you Like it's the only thing I'll ever do (Ah-ah-ah) (It's the only thing I'll ever do, it's the only thing I'll ever do) I'd walk through fire for you (It's the only thing I'll ever do) Just let me adore you Oh, honey (Ah-ah-ah), oh, honey (It's the only thing I'll ever do, it's the only thing I'll ever do) I'd walk through fire for you (It's the only thing I'll ever do) Just let me adore you (It's the only thing I'll ever do) Ooh, ooh Oh, honey Ooh, ooh Just let me adore you Like it's the only thing I'll ever do100Embed",Harry Styles,https://images.genius.com/fdaf3c9b5f86c107f9abaeb025b4cd34.1000x1000x1.jpg
5,Fine Line,"Put a price on emotion I'm looking for something to buy You've got my devotion But man, I can hate you sometimes I don't want to fight you And I don't want to sleep in the dirt We'll get the drinks in So I'll get to thinking of her  We'll be a fine line We'll be a fine line We'll be a fine line We'll be a fine line We'll be a fine line We'll be a fine line  Test of my patience There's things that we'll never know You sunshine, you temptress My hand's at risk, I fold Crisp trepidation I'll try to shake this soon Spreading you open Is the only way of knowing you You might also like We'll be a fine line We'll be a fine line We'll be a fine line We'll be a fine line We'll be a fine line We'll be a fine line We'll be a fine line We'll be a fine line We'll be a fine line We'll be a fine line We'll be a fine line We'll be a fine line We'll be alright We'll be alright We'll be a fine line We'll be a fine line We'll be alright (Alright, alright, alright)  (We'll be alright) (We'll be alright) We'll be alright We'll be alright Oh87Embed",Harry Styles,https://images.genius.com/7dc4b02c61e7d90da5ed3cbd0e3038e7.1000x1000x1.png
6,Matilda,"You were riding your bike to the sound of ""It's No Big Deal"" And you're trying to lift off the ground on those old two wheels Nothing 'bout the way that you were treated ever seemed especially alarming till now So you tie up your hair and you smile like it's no big deal  You can let it go You can throw a party full of everyone you know And not invite your family 'cause they never showed you love You don't have to be sorry for leavin' and growin' up, mmm  Matilda, you talk of the pain like it's all alright But I know that you feel like a piece of you's dead insidе You showed me a power that is strong еnough to bring sun to the darkest days It's none of my business, but it's just been on my mind  You can let it go You can throw a party full of everyone you know And not invite your family 'cause they never showed you love You don't have to be sorry for leavin' and growin' up You can see the world, following the seasons Anywhere you go, you don't need a reason 'Cause they never showed you love You don't have to be sorry for doin' it on your own You might also like You're just in time, make your tea and your toast You framed all your posters and dyed your clothes, ooh You don't have to go You don't have to go home Oh, there's a long way to go I don't believe that time will change your mind In other words, I know they won't hurt you anymore As long as you can let them go  You can let it go You can throw a party full of everyone you know You can start a family who will always show you love You don't have to be sorry for doin' it on your own You can let it go You can throw a party full of everyone you know You can start a family who will always show you love You don't have to be sorry, no53Embed",Harry Styles,https://images.genius.com/d98059a0f2afd10b04b912355c0e8ceb.1000x1000x1.png
7,Medicine," Here to take my medicine, take my medicine Treat you like a gentleman Give me that adrenaline, that adrenaline Think I'm gonna stick with it I'm here to take my medicine, take my medicine Rest it on my fingertips And up to your mouth, I'm feelin' it out I'm feelin' it now (Da, da, da, da)  I had a few, got drunk on you, and now I'm wasted And when I sleep I'm gonna dream of how you t—  If you go out tonight, I'm going out 'cause I know you're persuasive You got that something, I got me an appetite, now I can taste it We're getting dizzy, oh, we're getting dizzy, oh La-la-la-la-da We're getting dizzy, oh, we're getting dizzy, oh La-la-la-la-da  Tingle running through my bones, fingers to my toes Tingle running through my bones The boys and the girls are in I mess around with him And I'm okay with it (Oh-ah) You might also like I'm coming down, I figured out I kinda like it When I'm all out, I'll think about the way you— (Ha)  If you go out tonight, I'm going out 'cause I know you're persuasive You got that something, I got me an appetite, now I can taste it We're getting dizzy, oh, we're getting dizzy, oh La-la-la-la-da We're getting dizzy, oh, we're getting dizzy, oh La-la-la-la-da  Getting dizzy now Da-da-da, yeah Ow!  I had a few, got drunk on you, and now I'm wasted  If you go out tonight, I'm going out 'cause I know you're persuasive (I know you're persuasive) You got me something, I got me an appetite, now I can taste it (Now I can taste it) We're getting dizzy, oh, we're getting dizzy, oh La-la-la-la-da We're getting dizzy, oh, we're getting dizzy, oh La-la-la-la-da114Embed",Harry Styles,https://images.genius.com/2891eded074c12bfba2ee9077f29fd57.400x400x1.jpg
8,Kiwi,"She worked her way through a cheap pack of cigarettes Hard liquor mixed with a bit of intellect And all the boys, they were saying they were into it Such a pretty face on a pretty neck  She's driving me crazy, but I'm into it (Oh) But I'm into it (Oh), I'm kinda into it It's getting crazy, I think I'm losing it (Hey!) I think I'm losing it, oh, I think she said  ""I'm having your baby"" ""It's none of your business"" ""I'm having your baby"" ""It's none of your business"" (It's none of your, it's none of your—) ""I'm having your baby"" (Hey!) ""It's none of your business"" (Oh!) ""I'm having your baby"" (Hey! Hey) ""It's none of your, it's none of your—"" (Ow!)  It's New York, baby, always jacked up (Hey) Holland Tunnel for a nose, it's always backed up When she's alone, she goes home to a cactus (Uh) In a black dress, she's such an actress You might also like Driving me crazy, but I'm into it (Ah) But I'm into it (Ah), I'm kinda into it It's getting crazy, I think I'm losing it I think I'm losing it, oh, I think she said  ""I'm having your baby"" (Hey!) ""It's none of your business"" (Oh!) ""I'm having your baby"" (Hey!) ""It's none of your business"" (Hey! Hey) (It's none of your, it's none of your—) ""I'm having your baby"" (Hey!) ""It's none of your business"" (Oh) ""I'm having your baby"" (Hey! Hey) ""It's none of your, it's none of your—"" (Ow! Hey)  Ow! Hey, hey, hey, hey, hey! Ah, la-la-la-la-la  She sits beside me like a silhouette Hard candy drippin' on me till my feet are wet And now she's all over me, it's like I paid for it (Cha-ching!) It's like I paid for it, I'm gonna pay for this (Oh!) It's none of your, it's none of your— ""I'm having your baby"" (Hey!) ""It's none of your business"" ""I'm having your baby"" (Hey!) ""It's none of your business"" (It's none of your, none of your—)  ""Having your baby"" (Hey!) ""It's none of your business"" ""Having your baby"" (Hey!) ""It's none of your business"" (It's none of your, none of your—)  (Oh) Hey!121Embed",Harry Styles,https://images.genius.com/e70225b9166df549443de4ab00910640.1000x1000x1.jpg
9,Cherry,"Coucou  Don't you call him ""baby"" We're not talking lately Don't you call him what you used to call me  I, I confess I can tell that you are at your best I'm selfish so I'm hating it I noticed that there's a piece of you in how I dress Take it as a compliment  Don't you call him ""baby"" We're not talking lately Don't you call him what you used to call me  I, I just miss I just miss your accent and your friends Did you know I still talk to them?  Does he take you walking 'round his parents' gallery? You might also like Don't you call him ""baby"" We're not talking lately Don't you call him what you used to call me Don't you call him ""baby"" (Coucou) We're not talking lately Don't you call him what you used to call me (Coucou)  Coucou ! Tu dors ? Oh, j'suis désolée... Bah non... Nan, c'est pas important... Ouais, on a été à la plage, et maintenant on— Parfait ! Allez !43Embed",Harry Styles,https://images.genius.com/7dc4b02c61e7d90da5ed3cbd0e3038e7.1000x1000x1.png
